onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.00922665199999528	1.5	GO	RIGHT	0.933051219999982	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	0	0.00922665199999528	0
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
2.25279357699998	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.255348649999974	1	250	1	2.25	2.25279357699998	2.25
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	3.75	0	3.75
4.63012355500001	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.353314745999967	2	350	1	4.625	4.63012355500001	4.625
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	6.125	0	6.125
7.50948424199998	1.5	GO	LEFT	0.408572348000007	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	7.5	7.50948424199998	7.5
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	9	0	9
9.635912674	1.5	GO	LEFT	0.520052385000042	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	9.625	9.635912674	9.625
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	11.125	0	11.125
12.130428673	1.5	GO	LEFT	0.499490923999986	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	12.125	12.130428673	12.125
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	13.625	0	13.625
14.139439087	1.5	GO	RIGHT	0.538443474000019	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	14.125	14.139439087	14.125
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	15.625	0	15.625
17.638402884	1.5	GO	RIGHT	0.600241161999975	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	17.625	17.638402884	17.625
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	19.125	0	19.125
20.635178718	1.5	GO	RIGHT	0.49821399199999	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	20.625	20.635178718	20.625
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	22.125	0	22.125
23.380826944	1.5	STOP	RIGHT	0.400242658999957	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.401767934999953	2	400	-1	23.375	23.380826944	23.375
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	24.875	0	24.875
26.511458999	1.5	GO	RIGHT	0.455321268999967	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	26.5	26.511458999	26.5
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	28	0	28
29.139952303	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.302950974999987	1	300	1	29.125	29.139952303	29.125
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	30.625	0	30.625
32.387891552	1.5	GO	RIGHT	0.434057547999998	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	32.375	32.387891552	32.375
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	33.875	0	33.875
35.887080865	1.5	GO	LEFT	0.325508438999975	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	35.875	35.887080865	35.875
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	37.375	0	37.375
38.381220821	1.5	GO	LEFT	0.479960656000003	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	38.375	38.381220821	38.375
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	39.875	0	39.875
40.507659619	1.5	GO	LEFT	0.553537073999962	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	40.5	40.507659619	40.5
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	42	0	42
42.884854171	1.5	GO	RIGHT	0.358874270999991	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	42.875	42.884854171	42.875
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	44.375	0	44.375
45.011000584	1.5	GO	RIGHT	0.512680262000003	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	45	45.011000584	45
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	46.5	0	46.5
48.141750415	1.5	STOP	LEFT	0.279262705999997	LEFT	95	CorrectResponse	UnsuccessfulStop	0	1	350	-1	48.125	48.141750415	48.125
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	49.625	0	49.625
50.50236955	1.5	STOP	RIGHT	0.35968463200004	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.355353078000007	2	350	-1	50.5	50.50236955	50.5
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	52	0	52
52.628608978	1.5	GO	LEFT	0.560733077999998	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	52.625	52.628608978	52.625
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	54.125	0	54.125
54.637394484	1.5	GO	RIGHT	0.336304033000033	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	54.625	54.637394484	54.625
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	56.125	0	56.125
56.763688392	1.5	GO	LEFT	0.289252364000049	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	56.75	56.763688392	56.75
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	58.25	0	58.25
59.39210562	1.5	GO	LEFT	0.558687485999997	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	59.375	59.39210562	59.375
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	60.875	0	60.875
62.003766441	1.5	GO	RIGHT	0.448867610999969	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	62	62.003766441	62
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	63.5	0	63.5
64.130119662	1.5	GO	LEFT	0.315521512000032	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	64.125	64.130119662	64.125
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	65.625	0	65.625
66.892449486	1.5	GO	RIGHT	0.412201312999969	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	66.875	66.892449486	66.875
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	68.375	0	68.375
69.135871034	1.5	GO	LEFT	0.262672684999984	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	69.125	69.135871034	69.125
0	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	70.625	0	70.625
72.5176557199999	1.5	GO	LEFT	0.335950478999962	RIGHT	92	IncorrectResponse	JUNK	0	0	0	0	72.5	72.5176557199999	72.5
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	74	0	74
74.878091214	1.5	STOP	RIGHT	0.766318437999985	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.301749060999896	2	300	-1	74.875	74.878091214	74.875
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	76.375	0	76.375
76.887066628	1.5	GO	RIGHT	0.791169751999973	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	76.875	76.887066628	76.875
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	78.375	0	78.375
79.883864132	1.5	STOP	LEFT	0.346316066999975	LEFT	95	CorrectResponse	UnsuccessfulStop	0.303322974000025	1	300	-1	79.875	79.883864132	79.875
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	81.375	0	81.375
81.892982676	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.251924439999925	2	250	1	81.875	81.892982676	81.875
0	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	83.375	0	83.375
85.25807688	1.5	GO	RIGHT	0.459391378999953	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	85.25	85.25807688	85.25
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	86.75	0	86.75
87.267078656	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.253237248999994	1	250	1	87.25	87.267078656	87.25
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	88.75	0	88.75
90.012749284	1.5	GO	LEFT	0.473681651999982	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	90	90.012749284	90
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	91.5	0	91.5
92.758175202	1.5	GO	RIGHT	0.478301854999927	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	92.75	92.758175202	92.75
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	94.25	0	94.25
95.13552419	1.5	GO	LEFT	0.341670332000035	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	95.125	95.13552419	95.125
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	96.625	0	96.625
98.26623933	1.5	GO	RIGHT	0.418781441999954	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	98.25	98.26623933	98.25
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	99.75	0	99.75
100.392557042	1.5	GO	LEFT	0.420919839000021	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	100.375	100.392557042	100.375
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	101.875	0	101.875
103.389201256	1.5	GO	RIGHT	0.328598786999919	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	103.375	103.389201256	103.375
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	104.875	0	104.875
106.134757462	1.5	GO	LEFT	0.337602411000034	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	106.125	106.134757462	106.125
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	107.625	0	107.625
108.378176736	1.5	GO	LEFT	0.475594619000049	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	108.375	108.378176736	108.375
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	109.875	0	109.875
110.387315688	1.5	GO	LEFT	0.379658955000082	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	110.375	110.387315688	110.375
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	111.875	0	111.875
112.630604721	1.5	STOP	LEFT	0.32679711000003	LEFT	95	CorrectResponse	UnsuccessfulStop	0.303676068999948	2	300	-1	112.625	112.630604721	112.625
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	114.125	0	114.125
