onset	duration	trial_number	trial_type	reaction_time	response_coded	response_str	pairno_rec	enc_codes_during_rec	onset_noTriggerAdjust
0.0806465499999831	3	1	CORRECTLY	2.21442872899979	5	SURE_CORRECT	3	6	0.0806465499999831
4.51519893599971	3	2	INCORRECTLY	2.38767971900006	21	SURE_INCORRECT	55	0	4.51519893599971
13.0202760540001	2	3	CONTROL	2.41127152299987	5	n/a	1000	0	13.0202760540001
16.0814300530001	3	4	CORRECTLY	2.83264275800002	21	SURE_INCORRECT	12	0	16.0814300530001
21.0124625779999	3	5	CORRECTLY	3.21559883999998	28	MAYBE_CORRECT	8	15	21.0124625779999
25.0829585369997	2	6	CONTROL	2.65003573900003	28	n/a	1000	0	25.0829585369997
29.0211012330001	3	7	INCORRECTLY	2.32794857399995	5	SURE_CORRECT	59	0	29.0211012330001
36.0204881350001	3	8	CORRECTLY	2.89227676199971	5	SURE_CORRECT	7	13	36.0204881350001
40.521186638	3	9	INCORRECTLY	2.56287458499992	5	SURE_CORRECT	68	0	40.521186638
47.0241266839998	3	10	INCORRECTLY	2.69943358499995	10	MAYBE_INCORRECT	64	0	47.0241266839998
51.0781658669998	3	11	CORRECTLY	2.92829024100001	28	MAYBE_CORRECT	6	12	51.0781658669998
56.0090949299997	2	12	CONTROL	2.35736836900014	21	n/a	1000	0	56.0090949299997
61.519202473	3	13	INCORRECTLY	2.12917729999981	21	SURE_INCORRECT	78	0	61.519202473
65.5897632339997	3	14	CORRECTLY	2.26273101100014	21	SURE_INCORRECT	16	31	65.5897632339997
69.5941079919999	3	15	CORRECTLY	1.82358450900028	5	SURE_CORRECT	14	0	69.5941079919999
75.0214399749998	3	16	CORRECTLY	1.71558954900047	5	SURE_CORRECT	1	3	75.0214399749998
79.0754504379997	3	17	CORRECTLY	2.84012705999976	10	MAYBE_INCORRECT	5	11	79.0754504379997
83.5101298100003	3	18	INCORRECTLY	2.52727716799927	28	MAYBE_CORRECT	51	0	83.5101298100003
90.0129020720001	3	19	INCORRECTLY	2.45545127599962	21	SURE_INCORRECT	47	0	90.0129020720001
94.0834515169995	3	20	INCORRECTLY	2.40319596300014	28	MAYBE_CORRECT	66	0	94.0834515169995
99.014475765	3	21	CORRECTLY	2.27952610299963	5	SURE_CORRECT	10	20	99.014475765
103.084979652	3	22	INCORRECTLY	1.86771441800011	5	SURE_CORRECT	48	0	103.084979652
107.072786864	3	23	INCORRECTLY	2.50033499299934	10	MAYBE_INCORRECT	52	0	107.072786864
115.01531643	3	24	INCORRECTLY	2.30145723800069	5	SURE_CORRECT	45	0	115.01531643
119.516026304	3	25	CORRECTLY	2.16851912499988	5	SURE_CORRECT	9	18	119.516026304
125.522556399	3	26	INCORRECTLY	2.62825633899956	21	SURE_INCORRECT	42	0	125.522556399
131.016142575	3	27	INCORRECTLY	2.72626094600037	5	SURE_CORRECT	80	0	131.016142575
137.022626538	3	28	CORRECTLY	2.37220375000015	5	SURE_CORRECT	2	5	137.022626538
142.019765241	2	29	CONTROL	2.74372769999991	21	n/a	1000	0	142.019765241
145.080948628	3	30	INCORRECTLY	3.0933475439997	10	MAYBE_INCORRECT	56	0	145.080948628
150.524905702	3	31	INCORRECTLY	2.70357875100035	28	MAYBE_CORRECT	43	0	150.524905702
155.009093048	3	32	INCORRECTLY	3.14949222199994	28	MAYBE_CORRECT	58	0	155.009093048
159.509848121	3	33	CORRECTLY	2.76719607399991	28	MAYBE_CORRECT	4	9	159.509848121
167.022131588	3	34	CORRECTLY	1.79932689999987	5	SURE_CORRECT	13	0	167.022131588
173.508627019999	3	35	CORRECTLY	3.04484343600052	21	SURE_INCORRECT	11	21	173.508627019999
178.505650433	3	36	CORRECTLY	2.38756946099966	21	SURE_INCORRECT	15	30	178.505650433
182.576208039	3	37	INCORRECTLY	2.57230279400028	28	MAYBE_CORRECT	46	0	182.576208039
188.516486196	2	38	CONTROL	2.47810448900054	5	n/a	1000	0	188.516486196
193.513699099999	2	39	CONTROL	2.5248603910004	28	n/a	1000	0	193.513699099999
198.014456745	3	40	INCORRECTLY	1.92209925299994	5	SURE_CORRECT	62	0	198.014456745
203.01160178	2	41	CONTROL	1.65450756200062	5	n/a	1000	0	203.01160178
207.512399985	2	42	CONTROL	1.97501031200045	21	n/a	1000	0	207.512399985
211.020261516	2	43	CONTROL	1.78564559499955	28	n/a	1000	0	211.020261516
218.516077952	3	44	INCORRECTLY	2.18499264300044	21	SURE_INCORRECT	49	0	218.516077952
224.009629263	3	45	CORRECTLY	2.78501056499954	10	MAYBE_INCORRECT	27	47	224.009629263
229.503172664	3	46	CORRECTLY	2.04524337900057	10	MAYBE_INCORRECT	30	53	229.503172664
235.013331277	3	47	INCORRECTLY	2.19687523799985	5	SURE_CORRECT	75	0	235.013331277
244.527724317	3	48	CORRECTLY	1.95117659500011	5	SURE_CORRECT	35	58	244.527724317
252.006970052	3	49	CORRECTLY	2.61620854199919	28	MAYBE_CORRECT	32	55	252.006970052
256.077451253	2	50	CONTROL	1.64760201199988	21	n/a	1000	0	256.077451253
259.088989205	3	51	INCORRECTLY	1.98929900600069	5	SURE_CORRECT	70	0	259.088989205
267.014979929	2	52	CONTROL	1.57293308000044	21	n/a	1000	0	267.014979929
272.525091357	3	53	INCORRECTLY	2.65826405099961	5	SURE_CORRECT	79	0	272.525091357
277.505711636	3	54	INCORRECTLY	3.08277425399956	28	MAYBE_CORRECT	65	0	277.505711636
282.006424986	2	55	CONTROL	2.00807882599929	5	n/a	1000	0	282.006424986
285.084196651	3	56	INCORRECTLY	2.066074501	5	SURE_CORRECT	53	0	285.084196651
292.01732599	3	57	INCORRECTLY	2.41218217200003	5	SURE_CORRECT	76	0	292.01732599
296.087850956	2	58	CONTROL	1.28594441599944	5	n/a	1000	0	296.087850956
300.009467009	3	59	INCORRECTLY	2.53261892899991	28	MAYBE_CORRECT	41	0	300.009467009
305.519514743	2	60	CONTROL	2.82448614500026	28	n/a	1000	0	305.519514743
310.020309915	3	61	INCORRECTLY	1.89613790000021	5	SURE_CORRECT	63	0	310.020309915
318.012490387	3	62	CORRECTLY	2.22490753700004	28	MAYBE_CORRECT	38	61	318.012490387
325.028354199	3	63	CORRECTLY	1.74254299899985	5	SURE_CORRECT	24	41	325.028354199
330.008982979999	3	64	CORRECTLY	1.91523448300086	5	SURE_CORRECT	21	37	330.008982979999
335.519092374	3	65	INCORRECTLY	2.57513465300053	10	MAYBE_INCORRECT	67	0	335.519092374
341.509018127	3	66	CORRECTLY	1.86413402299968	5	SURE_CORRECT	34	57	341.509018127
346.522787531	3	67	INCORRECTLY	1.97995653500038	5	SURE_CORRECT	60	0	346.522787531
351.023470071	2	68	CONTROL	1.65493007799978	21	n/a	1000	0	351.023470071
355.011433898	3	69	CORRECTLY	2.25782677999996	5	SURE_CORRECT	22	38	355.011433898
362.523614516	3	70	CORRECTLY	2.42952302399954	10	MAYBE_INCORRECT	25	44	362.523614516
367.007793915	3	71	INCORRECTLY	2.33869271799995	10	MAYBE_INCORRECT	71	0	367.007793915
371.078412469	3	72	INCORRECTLY	1.98235437699987	28	MAYBE_CORRECT	57	0	371.078412469
375.512892223	3	73	CORRECTLY	1.89801104700018	21	SURE_INCORRECT	19	35	375.512892223
381.023018309	2	74	CONTROL	2.01355140199939	28	n/a	1000	0	381.023018309
