onset	duration	trial_type	Load	Delay	ReactionTime	ResponseAccuracy	ExpectedResponse	ButtonPressCode	PresentationInterval	ResponseInterval	onset_noTriggerAdjust
0.0158057959997677	9.49792335000029	6	3	4.5	1.68824936600004	CORRECT	2	28	2.00220990100024	2.9949827610003	0.0158057959997677
11.5159363570001	7.99209742799985	8	5	3	1.20126835099973	INCORRECT	1	28	2.00213857599965	2.99497733399994	11.5159363570001
21.5102558670001	8.00863215599975	2	1	3	1.41909957600001	CORRECT	1	5	2.00215134700011	3.01140510699997	21.5102558670001
31.5211488589998	7.99208176499997	5	3	3	2.40680057400004	CORRECT	2	28	1.98557633300015	2.9949827219998	31.5211488589998
43.5175984729999	9.49790355100004	3	1	4.5	1.65513307299989	CORRECT	1	5	2.00215672900003	2.99499964999995	43.5175984729999
59.0054333600001	6.50296258599974	1	1	1.5	1.43420131499988	CORRECT	2	28	2.01878130499972	2.99499741999989	59.0054333600001
71.5149252450001	9.49789526999984	12	7	4.5	2.8922889950004	CORRECT	2	28	2.00220322299992	2.99492313000019	71.5149252450001
85.0172199869999	9.49782488900019	6	3	4.5	1.19154697199974	CORRECT	1	5	2.00210091300005	3.01146166299986	85.0172199869999
96.5172312760001	9.49791019699978	9	5	4.5	1.15386699100009	CORRECT	2	28	2.0022600809998	2.99494769000012	96.5172312760001
110.019544862	7.99215148100029	11	7	3	1.48792368299974	CORRECT	2	28	2.00220484300007	2.99502124499986	110.019544862
126.020333303	7.99218739700018	8	5	3	1.10950133599999	CORRECT	2	28	2.00214036099987	2.99498024900004	126.020333303
138.016814605	9.49803885599977	9	5	4.5	1.20271738299971	INCORRECT	1	28	2.0021798849998	3.01161721299968	138.016814605
151.519060735	6.50298635699983	4	3	1.5	1.42072191099987	CORRECT	1	5	2.00221884499979	3.01154422699983	151.519060735
162.009916161	6.50285898899983	7	5	1.5	1.00248908200001	CORRECT	1	5	2.00209657599999	2.99499887699994	162.009916161
172.517124224	9.49786328500022	6	3	4.5	1.27344818100028	CORRECT	1	5	2.00217546700014	2.99500658400029	172.517124224
186.019371665	6.48636423299968	10	7	1.5	1.67293531699988	INCORRECT	1	28	2.00218421599993	2.99501997899961	186.019371665
196.510073179	6.50297584300006	1	1	1.5	0.963683911999851	CORRECT	2	28	2.00219199799994	2.99507554799993	196.510073179
209.003019346	6.51944855200009	10	7	1.5	1.82195630399974	INCORRECT	2	5	2.00213911800029	3.01154353899983	209.003019346
219.510318279	8.00859755800002	2	1	3	1.91353229600008	CORRECT	2	28	2.00217768399989	2.99500662799983	219.510318279
237.513288304	6.50291926099999	7	5	1.5	1.4850395110002	CORRECT	1	5	2.00215746100002	2.99495314000023	237.513288304
