onset	duration	trial_number	trial_type	trial_type_coded	reaction_time	expected_response_coded	response	response_coded	accuracy	accuracy_scrambled	accuracy_task	rec_codes_during_enc	onset_probe	onset_noTriggerAdjust	onset_probe_noTriggerAdjust
0.0133651671258121	2	1	CONTROL	1	2.02927695731069	1	LEFT	5	1	1	0	0	0.04653120968851	0.0133651671258121	0.04653120968851
4.52289587668838	2	2	CONTROL	1	1.06094171387394	2	RIGHT	28	1	1	0	0	4.53946434412592	4.52289587668838	4.53946434412592
11.5192896369072	4	3	TASK	2	1.30190479753037	1	RIGHT	28	0	0	0	16	12.5141385464694	11.5192896369072	12.5141385464694
19.5270406161253	2	4	CONTROL	1	0.809270435843246	1	LEFT	5	1	1	0	0	19.5436615091567	19.5270406161253	19.5436615091567
22.063715621689	4	5	TASK	2	0.76701484924979	2	RIGHT	28	1	0	1	28	23.0087879647499	22.063715621689	23.0087879647499
38.5102952581256	4	6	TASK	2	1.19253970209229	1	LEFT	5	1	0	1	1	39.5216010659069	38.5102952581256	39.5216010659069
49.5188276061253	2	7	CONTROL	1	0.915147069499653	2	RIGHT	28	1	1	0	0	49.5354590765	49.5188276061253	49.5354590765
56.5153479554701	2	8	CONTROL	1	0.934142893936951	2	RIGHT	28	1	1	0	0	56.5319769050629	56.5153479554701	56.5319769050629
66.0151340751254	4	9	TASK	2	0.851229169092221	2	LEFT	5	0	0	0	33	67.0098729649071	66.0151340751254	67.0098729649071
70.524738474689	2	10	CONTROL	1	0.716658971874494	2	RIGHT	28	1	1	0	0	70.5412405391253	70.524738474689	70.5412405391253
76.0124215304695	4	11	TASK	2	0.729816443249547	2	RIGHT	28	1	0	1	17	77.0072590857499	76.0124215304695	77.0072590857499
81.5167230989064	4	12	TASK	2	0.631741070093085	2	RIGHT	28	1	0	1	11	82.5114627609064	81.5167230989064	82.5114627609064
92.5087660819072	4	13	TASK	2	0.707913092468516	1	LEFT	5	1	0	1	8	93.5201859245308	92.5087660819072	93.5201859245308
98.013042198907	2	14	CONTROL	1	n/a	1	n/a	n/a	0	0	0	0	98.0296080599064	98.013042198907	98.0296080599064
104.512100078688	4	15	TASK	2	0.753872857060742	1	LEFT	5	1	0	1	5	105.506877905938	104.512100078688	105.506877905938
109.021630367907	2	16	CONTROL	1	1.13072503109197	1	LEFT	5	1	1	0	0	109.038148954907	109.021630367907	109.038148954907
112.022463012907	2	17	CONTROL	1	0.941673895093118	2	RIGHT	28	1	1	0	0	112.039039081907	112.022463012907	112.039039081907
118.521504721689	4	18	TASK	2	1.6101238128731	2	RIGHT	28	1	0	1	25	119.516217232126	118.521504721689	119.516217232126
125.020517985688	2	19	CONTROL	1	0.837117809310257	1	LEFT	5	1	1	0	0	125.037140615689	125.020517985688	125.037140615689
129.01615545447	4	20	TASK	2	0.998230958311069	1	LEFT	5	1	0	1	21	130.010870065688	129.01615545447	130.010870065688
135.01783400747	4	21	TASK	2	0.930287746310569	2	RIGHT	28	1	0	1	35	136.012574695689	135.01783400747	136.012574695689
151.016777768907	4	22	TASK	2	0.937249122468529	1	LEFT	5	1	0	1	4	152.011520799531	151.016777768907	152.011520799531
155.526228556689	4	23	TASK	2	0.806998909311005	2	RIGHT	28	1	0	1	34	156.521010604689	155.526228556689	156.521010604689
161.014018513689	2	24	CONTROL	1	n/a	2	n/a	n/a	0	0	0	0	161.030518884689	161.014018513689	161.030518884689
165.026165980688	2	25	CONTROL	1	0.00889603687392082	1	RIGHT	28	0	0	0	0	165.042701917126	165.026165980688	165.042701917126
174.509518646531	2	26	CONTROL	1	0.654479154092769	2	RIGHT	28	1	1	0	0	174.526055173907	174.509518646531	174.526055173907
179.516372210689	2	27	CONTROL	1	1.30044784324946	2	RIGHT	28	1	1	0	0	179.53302674775	179.516372210689	179.53302674775
182.053021219689	4	28	TASK	2	0.640564516249469	2	LEFT	5	0	0	0	15	183.01464848275	182.053021219689	183.01464848275
189.016312351689	2	29	CONTROL	1	1.52424343009261	2	LEFT	5	0	0	0	0	189.032787733907	189.016312351689	189.032787733907
193.028442307907	4	30	TASK	2	0.0754612144683051	2	LEFT	5	0	0	0	36	194.006717991531	193.028442307907	194.006717991531
202.014438145531	4	31	TASK	2	0.842145911310581	2	RIGHT	28	1	0	1	14	203.009137581689	202.014438145531	203.009137581689
209.50820716747	4	32	TASK	2	1.99212745309342	1	LEFT	5	1	0	1	77	210.519440548906	209.50820716747	210.519440548906
216.007218203688	2	33	CONTROL	1	0.833964619093422	2	RIGHT	28	1	1	0	0	216.023776671906	216.007218203688	216.023776671906
220.516726485689	4	34	TASK	2	1.09222192831112	1	LEFT	5	1	0	1	87	221.511522382689	220.516726485689	221.511522382689
226.020993042906	4	35	TASK	2	0.943506026093019	1	LEFT	5	1	0	1	73	227.015785897906	226.020993042906	227.015785897906
240.013880030689	4	36	TASK	2	0.927060850249291	1	LEFT	5	1	0	1	94	241.00869600275	240.013880030689	241.00869600275
254.023343639907	4	37	TASK	2	0.990328778092589	1	LEFT	5	1	0	1	64	255.018055991907	254.023343639907	255.018055991907
261.517076652689	4	38	TASK	2	0.960152908310192	2	RIGHT	28	1	0	1	69	262.511895823689	261.517076652689	262.511895823689
280.019501793907	2	39	CONTROL	1	0.928809613717931	1	LEFT	5	1	1	0	0	280.036144659281	280.019501793907	280.036144659281
283.020331601907	4	40	TASK	2	0.873342383310955	2	RIGHT	28	1	0	1	97	284.015124884689	283.020331601907	284.015124884689
292.022780242689	4	41	TASK	2	2.67453933230991	1	LEFT	5	1	0	1	63	293.017627378689	292.022780242689	293.017627378689
297.510538924907	2	42	CONTROL	1	n/a	1	n/a	n/a	0	0	0	0	297.527094694907	297.510538924907	297.527094694907
305.518281033689	2	43	CONTROL	1	0.956222647499089	1	LEFT	5	1	1	0	0	305.534953576501	305.518281033689	305.534953576501
316.526911687126	4	44	TASK	2	0.140187421468909	1	LEFT	5	1	0	1	70	317.505129267531	316.526911687126	317.505129267531
324.020694623689	4	45	TASK	2	0.00884727409265906	1	LEFT	5	1	0	1	104	325.015388456907	324.020694623689	325.015388456907
331.017109769688	2	46	CONTROL	1	1.46062474887367	1	LEFT	5	1	1	0	0	331.033628332126	331.017109769688	331.033628332126
336.521359308125	4	47	TASK	2	0.817122412310709	2	RIGHT	28	1	0	1	45	337.516121551689	336.521359308125	337.516121551689
347.015999560126	4	48	TASK	2	0.886396127092667	2	RIGHT	28	1	0	1	83	348.010816952907	347.015999560126	348.010816952907
358.008064616907	2	49	CONTROL	1	1.18044194646791	1	LEFT	5	1	1	0	0	358.024689949531	358.008064616907	358.024689949531
363.014994199689	2	50	CONTROL	1	1.3291829599375	2	RIGHT	28	1	1	0	0	363.031614438062	363.014994199689	363.031614438062
370.508733038689	2	51	CONTROL	1	0.638605721310341	2	LEFT	5	0	0	0	0	370.525342392689	370.508733038689	370.525342392689
376.510520646531	4	52	TASK	2	0.697253421249115	2	RIGHT	28	1	0	1	93	377.50522447275	376.510520646531	377.50522447275
383.523463901907	4	53	TASK	2	1.13858732009339	1	LEFT	5	1	0	1	46	384.518144117907	383.523463901907	384.518144117907
390.519860954689	4	54	TASK	2	1.15859876646846	2	RIGHT	28	1	0	1	96	391.514699565531	390.519860954689	391.514699565531
405.02666920447	4	55	TASK	2	1.11813327431082	2	RIGHT	28	1	0	1	49	406.021378616689	405.02666920447	406.021378616689
412.006470171689	4	56	TASK	2	0.670912150249933	2	RIGHT	28	1	0	1	103	413.01788371475	412.006470171689	413.01788371475
418.522155853689	4	57	TASK	2	0.791869159873386	2	RIGHT	28	1	0	1	66	419.516847102126	418.522155853689	419.516847102126
429.51418339047	4	58	TASK	2	0.542878683030722	2	RIGHT	28	1	0	1	48	430.508928112969	429.51418339047	430.508928112969
443.523504776689	4	59	TASK	2	0.543568183093157	2	RIGHT	28	1	0	1	99	444.518294207906	443.523504776689	444.518294207906
448.033128545689	4	60	TASK	2	2.4316032888737	1	LEFT	5	1	0	1	98	449.011246354125	448.033128545689	449.011246354125
453.006877724907	4	61	TASK	2	0.959677549310982	2	RIGHT	28	1	0	1	62	454.018143963689	453.006877724907	454.018143963689
459.505949099689	2	62	CONTROL	1	2.08571169309289	1	RIGHT	28	0	0	0	0	459.522443343907	459.505949099689	459.522443343907
465.010268139531	4	63	TASK	2	0.903833648468208	1	RIGHT	28	0	0	0	102	466.005022334532	465.010268139531	466.005022334532
473.515316355907	4	64	TASK	2	0.756096872249145	2	RIGHT	28	1	0	1	82	474.51015330775	473.515316355907	474.51015330775
