onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.0127035089999481	1.5	GO	LEFT	1.08945147900022	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	0	0.0127035089999481	0
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
2.01853192299995	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.250917728000331	1	250	1	2	2.01853192299995	2
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	3.5	0	3.5
4.88681975300005	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.252094033000049	2	250	1	4.875	4.88681975300005	4.875
0	2.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	6.375	0	6.375
9.14775665699972	1.5	GO	LEFT	0.368315829000039	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	9.125	9.14775665699972	9.125
0	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	10.625	0	10.625
12.5132244000001	1.5	GO	RIGHT	0.376076537999779	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	12.5	12.5132244000001	12.5
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	14	0	14
15.5139685109998	1.5	GO	RIGHT	0.445735419999892	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	15.5	15.5139685109998	15.5
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	17	0	17
17.884850724	1.5	GO	LEFT	0.54809764599986	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	17.875	17.884850724	17.875
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	19.375	0	19.375
20.0056157439999	1.5	GO	RIGHT	0.505786381000235	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	20	20.0056157439999	20
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	21.5	0	21.5
22.3944281879999	1.5	GO	LEFT	0.548887404000197	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	22.375	22.3944281879999	22.375
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	23.875	0	23.875
24.632515195	1.5	GO	RIGHT	0.346607501000108	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	24.625	24.632515195	24.625
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	26.125	0	26.125
27.0200456819998	1.5	GO	LEFT	0.318248072000188	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	27	27.0200456819998	27
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	28.5	0	28.5
29.0095686929999	1.5	GO	RIGHT	0.308936588000051	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	29	29.0095686929999	29
0	3.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	30.5	0	30.5
33.7677605630001	1.5	GO	RIGHT	0.352250446000198	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	33.75	33.7677605630001	33.75
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	35.25	0	35.25
36.5200288209999	1.5	STOP	LEFT	0.345358654999927	LEFT	5	CorrectResponse	UnsuccessfulStop	0.30255170800001	2	300	-1	36.5	36.5200288209999	36.5
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	38	0	38
38.641993188	1.5	GO	LEFT	0.570817105999595	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	38.625	38.641993188	38.625
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	40.125	0	40.125
41.758948143	1.5	STOP	RIGHT	0.315419636000115	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.302085830000124	1	300	-1	41.75	41.758948143	41.75
0	2.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	43.25	0	43.25
45.6384243510001	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.251412496999819	1	250	1	45.625	45.6384243510001	45.625
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	47.125	0	47.125
47.8933856579997	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.251212187999954	2	250	1	47.875	47.8933856579997	47.875
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	49.375	0	49.375
50.645434951	1.5	GO	RIGHT	0.345792293000159	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	50.625	50.645434951	50.625
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	52.125	0	52.125
53.0161700180001	1.5	GO	LEFT	0.45662739699992	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	53	53.0161700180001	53
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	54.5	0	54.5
55.138470544	1.5	GO	LEFT	0.431835698000214	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	55.125	55.138470544	55.125
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	56.625	0	56.625
57.757767953	1.5	GO	RIGHT	0.344173499000135	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	57.75	57.757767953	57.75
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	59.25	0	59.25
61.272612797	1.5	GO	LEFT	0.374157205999836	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	61.25	61.272612797	61.25
0	2.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	62.75	0	62.75
65.135545568	1.5	GO	RIGHT	0.391087679000066	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	65.125	65.135545568	65.125
0	2.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	66.625	0	66.625
69.2637890880001	1.5	GO	LEFT	0.673082428999805	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	69.25	69.2637890880001	69.25
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	70.75	0	70.75
71.270114461	1.5	GO	LEFT	0.369203453999944	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	71.25	71.270114461	71.25
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	72.75	0	72.75
73.2593760619998	1.5	GO	RIGHT	0.397156544999689	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	73.25	73.2593760619998	73.25
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	74.75	0	74.75
75.5142731860001	1.5	GO	RIGHT	0.28551593300017	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	75.5	75.5142731860001	75.5
0	2.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	77	0	77
79.7586070510001	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.300528794000002	2	300	1	79.75	79.7586070510001	79.75
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	81.25	0	81.25
82.1458413330001	1.5	GO	LEFT	0.3974974380003	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	82.125	82.1458413330001	82.125
